timestamp,mode,framework,n_resources,component,cpu_millicores,mem_mib
2026-07-15T17:09:04+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:05+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:06+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:07+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,10,51.2
2026-07-15T17:09:08+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,10,51.2
2026-07-15T17:09:09+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:10+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:11+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:12+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:13+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:14+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:15+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:16+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:17+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:18+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:19+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:20+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:21+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:22+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:23+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:24+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:25+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
2026-07-15T17:09:26+00:00,scale-burst,kubebuilder,1,kubebuilder-controller,0,51.2
