LAST SEEN   TYPE      REASON                           OBJECT                                                                           MESSAGE
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-3c84b45              All functions have required composition capability
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-d5f30dd              All functions have required composition capability
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-47f2a27              All functions have required composition capability
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-6a773fe              All functions have required composition capability
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-95ac576              All functions have required composition capability
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-8a19dfc              All functions have required composition capability
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-1f814e4              All functions have required composition capability
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-96609a6              All functions have required composition capability
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-2ddc950              All functions have required composition capability
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-dc94679              All functions have required composition capability
31m         Normal    CheckCapabilities                compositionrevision/xdatastreams.messaging.lorenzodeluca.it-39e0aae              All functions have required composition capability
31m         Normal    ApplyCustomResourceDefinition    managedresourcedefinition/topics.topic.kafka.m.crossplane.io                     Successfully applied CustomResourceDefinition
31m         Normal    ApplyCustomResourceDefinition    managedresourcedefinition/accesscontrollists.acl.kafka.m.crossplane.io           Successfully applied CustomResourceDefinition
31m         Normal    ApplyCustomResourceDefinition    managedresourcedefinition/accesscontrollists.acl.kafka.crossplane.io             Successfully applied CustomResourceDefinition
31m         Normal    ApplyCustomResourceDefinition    managedresourcedefinition/topics.topic.kafka.crossplane.io                       Successfully applied CustomResourceDefinition
31m         Normal    ApplyCustomResourceDefinition    managedresourcedefinition/observedobjectcollections.kubernetes.m.crossplane.io   Successfully applied CustomResourceDefinition
31m         Normal    ApplyCustomResourceDefinition    managedresourcedefinition/observedobjectcollections.kubernetes.crossplane.io     Successfully applied CustomResourceDefinition
31m         Normal    ApplyCustomResourceDefinition    managedresourcedefinition/objects.kubernetes.m.crossplane.io                     Successfully applied CustomResourceDefinition
31m         Normal    ApplyCustomResourceDefinition    managedresourcedefinition/objects.kubernetes.crossplane.io                       Successfully applied CustomResourceDefinition
29m         Normal    Pulling                          pod/kafka-client                                                                 Pulling image "bitnami/kafka:latest"
29m         Warning   Failed                           pod/kafka-client                                                                 Error: ErrImagePull
29m         Warning   Failed                           pod/kafka-client                                                                 Failed to pull image "bitnami/kafka:latest": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/kafka:latest": failed to resolve reference "docker.io/bitnami/kafka:latest": docker.io/bitnami/kafka:latest: not found
20m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-fcz8w                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
20m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b                    Created pod: bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-fcz8w
20m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-1-consumer                               Scaled up replica set bench-kubebuilder-1784137300-1-consumer-6d49ddf56b from 0 to 1
20m         Normal    Created                          pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-fcz8w                     Container created
20m         Normal    Started                          pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-fcz8w                     Container started
19m         Normal    Killing                          pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-fcz8w                     Stopping container consumer
19m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-2-consumer                               Scaled up replica set bench-kubebuilder-1784137300-2-consumer-7b6956bff6 from 0 to 1
19m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-1-consumer                               Scaled up replica set bench-kubebuilder-1784137300-1-consumer-6d49ddf56b from 0 to 1
19m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b                    Created pod: bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-hvzmh
19m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-2-consumer-7b6956bff6-p8ccd                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
19m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-2-consumer-7b6956bff6                    Created pod: bench-kubebuilder-1784137300-2-consumer-7b6956bff6-p8ccd
19m         Normal    Started                          pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-hvzmh                     Container started
19m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-4-consumer                               Scaled up replica set bench-kubebuilder-1784137300-4-consumer-56f74c95cb from 0 to 1
19m         Normal    Created                          pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-hvzmh                     Container created
19m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-hvzmh                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
19m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-3-consumer-6679476558-j84d8                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
19m         Normal    Created                          pod/bench-kubebuilder-1784137300-3-consumer-6679476558-j84d8                     Container created
19m         Normal    Started                          pod/bench-kubebuilder-1784137300-2-consumer-7b6956bff6-p8ccd                     Container started
19m         Normal    Created                          pod/bench-kubebuilder-1784137300-2-consumer-7b6956bff6-p8ccd                     Container created
19m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-4-consumer-56f74c95cb                    Created pod: bench-kubebuilder-1784137300-4-consumer-56f74c95cb-kqnjp
19m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-3-consumer-6679476558                    Created pod: bench-kubebuilder-1784137300-3-consumer-6679476558-j84d8
19m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-3-consumer                               Scaled up replica set bench-kubebuilder-1784137300-3-consumer-6679476558 from 0 to 1
19m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-5-consumer                               Scaled up replica set bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d from 0 to 1
19m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb                     Created pod: bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-8qjmd
19m         Normal    Started                          pod/bench-kubebuilder-1784137300-3-consumer-6679476558-j84d8                     Container started
19m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-5n264                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
19m         Normal    Created                          pod/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-5n264                     Container created
19m         Normal    Started                          pod/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-5n264                     Container started
19m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-7-consumer                               Scaled up replica set bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6 from 0 to 1
19m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d                    Created pod: bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-5n264
19m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6                    Created pod: bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6-c69mv
19m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-6-consumer                               Scaled up replica set bench-kubebuilder-1784137300-6-consumer-754db467bd from 0 to 1
19m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-6-consumer-754db467bd                    Created pod: bench-kubebuilder-1784137300-6-consumer-754db467bd-cbppx
19m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-8-consumer                               Scaled up replica set bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb from 0 to 1
19m         Normal    Created                          pod/bench-kubebuilder-1784137300-6-consumer-754db467bd-cbppx                     Container created
19m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-6-consumer-754db467bd-cbppx                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
19m         Normal    Started                          pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-kqnjp                     Container started
19m         Normal    Created                          pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-kqnjp                     Container created
19m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-kqnjp                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
19m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6-c69mv                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
19m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-9-consumer-58b8f49474-22fp8                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
19m         Normal    Created                          pod/bench-kubebuilder-1784137300-9-consumer-58b8f49474-22fp8                     Container created
19m         Normal    Started                          pod/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-8qjmd                      Container started
19m         Normal    Started                          pod/bench-kubebuilder-1784137300-9-consumer-58b8f49474-22fp8                     Container started
19m         Normal    Started                          pod/bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6-c69mv                     Container started
19m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b                   Created pod: bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-hcm6t
19m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-10-consumer                              Scaled up replica set bench-kubebuilder-1784137300-10-consumer-5fc4b8578b from 0 to 1
19m         Normal    Created                          pod/bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6-c69mv                     Container created
19m         Normal    Started                          pod/bench-kubebuilder-1784137300-6-consumer-754db467bd-cbppx                     Container started
19m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-9-consumer-58b8f49474                    Created pod: bench-kubebuilder-1784137300-9-consumer-58b8f49474-22fp8
19m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-9-consumer                               Scaled up replica set bench-kubebuilder-1784137300-9-consumer-58b8f49474 from 0 to 1
19m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-8qjmd                      Container image "alpine:3.20" already present on machine and can be accessed by the pod
19m         Normal    Created                          pod/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-8qjmd                      Container created
19m         Normal    Started                          pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-hcm6t                    Container started
19m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-hcm6t                    Container image "alpine:3.20" already present on machine and can be accessed by the pod
19m         Normal    Created                          pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-hcm6t                    Container created
17m         Normal    Killing                          pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-hvzmh                     Stopping container consumer
17m         Normal    Killing                          pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-hcm6t                    Stopping container consumer
17m         Normal    Killing                          pod/bench-kubebuilder-1784137300-2-consumer-7b6956bff6-p8ccd                     Stopping container consumer
17m         Normal    Killing                          pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-kqnjp                     Stopping container consumer
17m         Normal    Killing                          pod/bench-kubebuilder-1784137300-3-consumer-6679476558-j84d8                     Stopping container consumer
17m         Normal    Killing                          pod/bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6-c69mv                     Stopping container consumer
17m         Normal    Killing                          pod/bench-kubebuilder-1784137300-9-consumer-58b8f49474-22fp8                     Stopping container consumer
17m         Normal    Killing                          pod/bench-kubebuilder-1784137300-6-consumer-754db467bd-cbppx                     Stopping container consumer
17m         Normal    Killing                          pod/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-8qjmd                      Stopping container consumer
17m         Normal    Killing                          pod/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-5n264                     Stopping container consumer
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-3-consumer-6679476558                    Created pod: bench-kubebuilder-1784137300-3-consumer-6679476558-65x8m
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-3-consumer                               Scaled up replica set bench-kubebuilder-1784137300-3-consumer-6679476558 from 0 to 1
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-4-consumer-56f74c95cb                    Created pod: bench-kubebuilder-1784137300-4-consumer-56f74c95cb-v5jt5
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b                    Created pod: bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-jklqv
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-2-consumer                               Scaled up replica set bench-kubebuilder-1784137300-2-consumer-7b6956bff6 from 0 to 1
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-jklqv                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-jklqv                     Container created
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-4-consumer                               Scaled up replica set bench-kubebuilder-1784137300-4-consumer-56f74c95cb from 0 to 1
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-2-consumer-7b6956bff6                    Created pod: bench-kubebuilder-1784137300-2-consumer-7b6956bff6-rtqqj
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-1-consumer                               Scaled up replica set bench-kubebuilder-1784137300-1-consumer-6d49ddf56b from 0 to 1
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-2-consumer-7b6956bff6-rtqqj                     Container created
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-1-consumer-6d49ddf56b-jklqv                     Container started
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-2-consumer-7b6956bff6-rtqqj                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-6-consumer-754db467bd                    Created pod: bench-kubebuilder-1784137300-6-consumer-754db467bd-6t4nm
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-2-consumer-7b6956bff6-rtqqj                     Container started
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-v5jt5                     Container started
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-7-consumer                               Scaled up replica set bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6 from 0 to 1
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-5-consumer                               Scaled up replica set bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d from 0 to 1
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-vn4mg                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-6-consumer                               Scaled up replica set bench-kubebuilder-1784137300-6-consumer-754db467bd from 0 to 1
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-v5jt5                     Container created
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-v5jt5                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-vn4mg                     Container created
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-3-consumer-6679476558-65x8m                     Container started
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-3-consumer-6679476558-65x8m                     Container created
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-3-consumer-6679476558-65x8m                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6                    Created pod: bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6-g72tf
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d                    Created pod: bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-vn4mg
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-10-consumer                              Scaled up replica set bench-kubebuilder-1784137300-10-consumer-5fc4b8578b from 0 to 1
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb                     Created pod: bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-vbdsz
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6-g72tf                     Container started
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6-g72tf                     Container created
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b                   Created pod: bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-zr6h7
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-7-consumer-6ccfbdf4d6-g72tf                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-vn4mg                     Container started
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-vbdsz                      Container created
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-9-consumer-58b8f49474                    Created pod: bench-kubebuilder-1784137300-9-consumer-58b8f49474-kjbsq
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-vbdsz                      Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-11-consumer-586f7494cd                   Created pod: bench-kubebuilder-1784137300-11-consumer-586f7494cd-dng8n
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-8-consumer                               Scaled up replica set bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb from 0 to 1
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-11-consumer                              Scaled up replica set bench-kubebuilder-1784137300-11-consumer-586f7494cd from 0 to 1
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-6-consumer-754db467bd-6t4nm                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-9-consumer                               Scaled up replica set bench-kubebuilder-1784137300-9-consumer-58b8f49474 from 0 to 1
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-8-consumer-8c8b8b7cb-vbdsz                      Container started
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-6-consumer-754db467bd-6t4nm                     Container created
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-6-consumer-754db467bd-6t4nm                     Container started
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-11-consumer-586f7494cd-dng8n                    Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-zr6h7                    Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-zr6h7                    Container created
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-zr6h7                    Container started
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-9-consumer-58b8f49474-kjbsq                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-9-consumer-58b8f49474-kjbsq                     Container created
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-9-consumer-58b8f49474-kjbsq                     Container started
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-11-consumer-586f7494cd-dng8n                    Container created
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-12-consumer-67d4c6d5b6                   Created pod: bench-kubebuilder-1784137300-12-consumer-67d4c6d5b6-9bzk5
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-13-consumer                              Scaled up replica set bench-kubebuilder-1784137300-13-consumer-569b945f9d from 0 to 1
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-12-consumer                              Scaled up replica set bench-kubebuilder-1784137300-12-consumer-67d4c6d5b6 from 0 to 1
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-13-consumer-569b945f9d                   Created pod: bench-kubebuilder-1784137300-13-consumer-569b945f9d-brn2b
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-15-consumer                              Scaled up replica set bench-kubebuilder-1784137300-15-consumer-7c4b868b6 from 0 to 1
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-11-consumer-586f7494cd-dng8n                    Container started
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-13-consumer-569b945f9d-brn2b                    Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-16-consumer                              Scaled up replica set bench-kubebuilder-1784137300-16-consumer-74fcff8f58 from 0 to 1
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-13-consumer-569b945f9d-brn2b                    Container started
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-14-consumer-64f8d58d46-gfgpr                    Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-12-consumer-67d4c6d5b6-9bzk5                    Container started
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-13-consumer-569b945f9d-brn2b                    Container created
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-12-consumer-67d4c6d5b6-9bzk5                    Container created
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-17-consumer                              Scaled up replica set bench-kubebuilder-1784137300-17-consumer-5f89c78d74 from 0 to 1
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-12-consumer-67d4c6d5b6-9bzk5                    Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-14-consumer-64f8d58d46-gfgpr                    Container created
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-16-consumer-74fcff8f58                   Created pod: bench-kubebuilder-1784137300-16-consumer-74fcff8f58-z2n9n
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-14-consumer-64f8d58d46                   Created pod: bench-kubebuilder-1784137300-14-consumer-64f8d58d46-gfgpr
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-14-consumer                              Scaled up replica set bench-kubebuilder-1784137300-14-consumer-64f8d58d46 from 0 to 1
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-15-consumer-7c4b868b6                    Created pod: bench-kubebuilder-1784137300-15-consumer-7c4b868b6-dz6xb
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-15-consumer-7c4b868b6-dz6xb                     Container started
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-16-consumer-74fcff8f58-z2n9n                    Container started
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-15-consumer-7c4b868b6-dz6xb                     Container created
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-15-consumer-7c4b868b6-dz6xb                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-20-consumer                              Scaled up replica set bench-kubebuilder-1784137300-20-consumer-66864c6d78 from 0 to 1
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-16-consumer-74fcff8f58-z2n9n                    Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-18-consumer                              Scaled up replica set bench-kubebuilder-1784137300-18-consumer-58677f566 from 0 to 1
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-18-consumer-58677f566                    Created pod: bench-kubebuilder-1784137300-18-consumer-58677f566-4whtz
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-16-consumer-74fcff8f58-z2n9n                    Container created
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-17-consumer-5f89c78d74-g7p6g                    Container created
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-14-consumer-64f8d58d46-gfgpr                    Container started
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-19-consumer-58f57bc48b                   Created pod: bench-kubebuilder-1784137300-19-consumer-58f57bc48b-2q57j
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-17-consumer-5f89c78d74                   Created pod: bench-kubebuilder-1784137300-17-consumer-5f89c78d74-g7p6g
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-19-consumer                              Scaled up replica set bench-kubebuilder-1784137300-19-consumer-58f57bc48b from 0 to 1
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-17-consumer-5f89c78d74-g7p6g                    Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-20-consumer-66864c6d78                   Created pod: bench-kubebuilder-1784137300-20-consumer-66864c6d78-b2s4q
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-17-consumer-5f89c78d74-g7p6g                    Container started
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-19-consumer-58f57bc48b-2q57j                    Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-22-consumer-7b7bf94bb6                   Created pod: bench-kubebuilder-1784137300-22-consumer-7b7bf94bb6-vxnvq
17m         Normal    SuccessfulCreate                 replicaset/bench-kubebuilder-1784137300-23-consumer-6f5dfcb45d                   Created pod: bench-kubebuilder-1784137300-23-consumer-6f5dfcb45d-s54xn
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-23-consumer                              Scaled up replica set bench-kubebuilder-1784137300-23-consumer-6f5dfcb45d from 0 to 1
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-19-consumer-58f57bc48b-2q57j                    Container started
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-18-consumer-58677f566-4whtz                     Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-18-consumer-58677f566-4whtz                     Container created
17m         Normal    Started                          pod/bench-kubebuilder-1784137300-18-consumer-58677f566-4whtz                     Container started
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-22-consumer                              Scaled up replica set bench-kubebuilder-1784137300-22-consumer-7b7bf94bb6 from 0 to 1
17m         Normal    Pulled                           pod/bench-kubebuilder-1784137300-20-consumer-66864c6d78-b2s4q                    Container image "alpine:3.20" already present on machine and can be accessed by the pod
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-20-consumer-66864c6d78-b2s4q                    Container created
17m         Normal    ScalingReplicaSet                deployment/bench-kubebuilder-1784137300-21-consumer                              Scaled up replica set bench-kubebuilder-1784137300-21-consumer-5df44f7474 from 0 to 1
17m         Normal    Created                          pod/bench-kubebuilder-1784137300-19-consumer-58f57bc48b-2q57j                    Container created
