LAST SEEN   TYPE      REASON                           OBJECT                                                                           MESSAGE
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-85-consumer-7c9b45f6bb-4hw7g                    Successfully assigned default/bench-kubebuilder-1784137300-85-consumer-7c9b45f6bb-4hw7g to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-86-consumer-58f47d5cf4-h2qcs                    Successfully assigned default/bench-kubebuilder-1784137300-86-consumer-58f47d5cf4-h2qcs to deluca.pro
19m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-hcm6t                    Successfully assigned default/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-hcm6t to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-v5jt5                     Successfully assigned default/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-v5jt5 to deluca.pro
19m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-kqnjp                     Successfully assigned default/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-kqnjp to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-42-consumer-6c6f9f5594-4jhpk                    Successfully assigned default/bench-kubebuilder-1784137300-42-consumer-6c6f9f5594-4jhpk to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-42-consumer-6c6f9f5594-hrlcq                    Successfully assigned default/bench-kubebuilder-1784137300-42-consumer-6c6f9f5594-hrlcq to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-vqvkf                    Successfully assigned default/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-vqvkf to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-23-consumer-6f5dfcb45d-rjz7k                    Successfully assigned default/bench-kubebuilder-1784137300-23-consumer-6f5dfcb45d-rjz7k to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-87-consumer-6b9c6cf7c8-m9c9p                    Successfully assigned default/bench-kubebuilder-1784137300-87-consumer-6b9c6cf7c8-m9c9p to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-73-consumer-5d879f5fc4-bgsqb                    Successfully assigned default/bench-kubebuilder-1784137300-73-consumer-5d879f5fc4-bgsqb to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-88-consumer-7555847486-kg4bh                    Successfully assigned default/bench-kubebuilder-1784137300-88-consumer-7555847486-kg4bh to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-zr6h7                    Successfully assigned default/bench-kubebuilder-1784137300-10-consumer-5fc4b8578b-zr6h7 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-88z9p                     Successfully assigned default/bench-kubebuilder-1784137300-4-consumer-56f74c95cb-88z9p to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-39-consumer-f485d4dd6-rrbkg                     Successfully assigned default/bench-kubebuilder-1784137300-39-consumer-f485d4dd6-rrbkg to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-43-consumer-cb695f68b-4wc7h                     Successfully assigned default/bench-kubebuilder-1784137300-43-consumer-cb695f68b-4wc7h to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-27-consumer-84bffc5bbb-djbz2                    Successfully assigned default/bench-kubebuilder-1784137300-27-consumer-84bffc5bbb-djbz2 to deluca.pro
